,neighborhood,%inc_rac,public_housing,pc,Foreign-born population,Median household income ($2016),"Median rent, all ($2016)",Percent Asian,Percent Hispanic,Percent black,Percent white,Population aged 25+ with a bachelor's degree or higher,Population aged 25+ without a high school diploma,"Population density (1,000 persons per square mile)",Poverty rate,Racial diversity index,Unemployment rate,entropy_index,avg_entropy
0,Astoria,0.000643514305335299,1,1,0.39277158083333336,49549.166666666664,1255.8333333333333,0.12875272433333335,0.25900782499999997,0.058264319666666654,0.4455251416666666,0.34942575125,0.17551557141666663,31.947523007499996,0.15548295474999999,0.6032034474166666,0.07670872075,0.0007714302844060414,1.1552144140539464
1,Bay Ridge,0.012564839011497853,0,2,0.3447720690833333,54985.833333333336,1181.6666666666667,0.1950727525,0.13747718491666663,0.011473117833333333,0.55786212075,0.3369836889166667,0.17412070283333334,27.213311019999995,0.13957138358333335,0.5114703881666666,0.07196052433333333,0.010824610849882338,0.9647578648042389
2,Bayside/Little Neck,0.010788631540656983,0,2,0.3730388261666666,72825.83333333333,1425.8333333333333,0.3434056935,0.104807739,0.017398523916666662,0.4336269232500001,0.3851032514166666,0.10613492658333334,11.760408843333332,0.06437051216666667,0.565575439,0.05465499016666667,0.01080024778794027,1.0355158863850076
3,Bedford Stuyvesant,0.04084041032893492,1,1,0.18240754683333335,35744.166666666664,958.3333333333334,0.024777151333333334,0.17257723758333335,0.5462914590833333,0.15740225558333334,0.21945402891666665,0.22820660675,54.877557685,0.2950083750833333,0.5218119974166666,0.11015036066666667,0.03980226258551627,1.0021154189801504
4,Bensonhurst,0.016954359315732536,0,2,0.488615453,43542.5,1080.0,0.31971178808333334,0.12221548891666667,0.006547522666666666,0.45720548083333346,0.2237797916666667,0.25483046775,44.78029689583334,0.15754184816666666,0.5544040576666668,0.070757054,0.014543986083026962,1.0122529191071292
5,Borough Park,0.004094370247374357,0,2,0.30196614250000003,39707.5,1170.8333333333333,0.12346608216666666,0.10016825483333335,0.022086584500000003,0.6561223685,0.23572443,0.2199608525,47.577874933333334,0.27418138825,0.41826583533333334,0.06482177716666668,0.0009027101384179372,0.8355139460020711
6,Brooklyn Heights/Fort Greene,-0.0039982680324430345,1,1,0.17174094633333334,70153.33333333333,1317.5,0.07037207666666667,0.15202955908333335,0.26570557758333335,0.3935645818333333,0.5217796099166667,0.11063774966666666,36.99493243333334,0.17537740849999997,0.6369585379166667,0.07444910216666667,-0.003979432718093826,1.2098049307133296
7,Brownsville/Ocean Hill,inf,1,1,0.26791832266666665,26130.0,795.8333333333334,0.008891872666666667,0.16594048116666668,0.5542305260833333,0.011434349416666668,0.11141374724999999,0.2590061489166667,42.280019304999996,0.33155896425,0.3027985901666667,0.12436789833333332,,
8,Bushwick,inf,0,0,0.331821562,35964.166666666664,1079.1666666666667,0.035625025416666664,0.5380604893333333,0.15738471658333333,0.08997382283333333,0.1694208994166667,0.3613837935,48.105961791666665,0.27590789849999997,0.43979289483333334,0.09205805741666667,,
9,Central Harlem,0.03516603701501983,1,1,0.1957475869166667,35148.333333333336,812.5,0.025656093,0.20001910816666668,0.5586339816666667,0.10299966708333334,0.3002871183333333,0.19242478066666668,82.84375719833334,0.26344005125,0.51509964875,0.10089248741666668,0.03667429269720783,0.968000115283773
10,Chelsea/Clinton/Midtown,0.007868722484364744,0,0,0.2413416013333333,85731.66666666667,1570.0,0.1302784306666667,0.13007884141666667,0.05199593366666666,0.5786290661666667,0.6532944521666667,0.05931357574999999,42.36481722583333,0.1189308495,0.5099614546666666,0.057430757000000006,0.0032991361416190097,1.0008206557221515
11,Coney Island,inf,1,1,0.48069771958333335,31509.166666666668,833.3333333333334,0.10613450266666667,0.12248445391666667,0.09514451816666665,0.49506751625,0.2962047215833333,0.17620441725,29.341634832500006,0.22386740891666668,0.4954488254166667,0.08830295799999999,,
12,East Flatbush,0.03398785377319316,0,0,0.4825564136666667,44999.166666666664,1073.3333333333333,0.011394852250000002,0.061822548166666665,0.8110947134999998,0.015280903333333333,0.18699348133333335,0.1417358275,42.35317202666666,0.14353332991666665,0.19415934941666665,0.089145777,0.03583271005812201,0.4037886811134943
