,,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,public_housing,pc
Racial diversity index,Astoria,0.722032978,0.670618541,0.670941809,0.669935284,0.636759911,0.608331094,0.672336711,0.65566597,0.635969048,0.679417619,0.669118093,0.656953936,0.668059323,1,1
Percent Asian,Astoria,0.125366844,0.150156969,0.129747118,0.15943823,0.099759077,0.105808588,0.144666579,0.121604946,0.130390523,0.16328919,0.133342448,0.160800182,0.167633788,1,1
Percent black,Astoria,0.104103295,0.063915389,0.0669025,0.05327918,0.062808158,0.06228103,0.068520274,0.07499383,0.061926258,0.08526472,0.059455321,0.050837798,0.063981208,1,1
Percent Hispanic,Astoria,0.274688639,0.308258913,0.312709267,0.290947674,0.294173017,0.251941676,0.291553166,0.30616898,0.257533251,0.252014447,0.316690364,0.267160606,0.265111519,1,1
Percent white,Astoria,0.419474471,0.45576925,0.458214847,0.465998871,0.512645675,0.559571187,0.465871864,0.479773643,0.526185355,0.4723745,0.457464727,0.493183632,0.479021792,1,1
Median household income ($2016),Astoria,53950,46660,50250,53910,58160,52750,50870,49670,54070,52260,56950,58300,60410,1,1
Unemployment rate,Astoria,0.078154415,0.075328481,0.101194693,0.063924216,0.064041755,0.104984418,0.130039994,0.109151451,0.078282484,0.096255862,0.089740872,0.061107587,0.055604287,1,1
Population aged 25+ with a bachelor's degree or higher,Astoria,0.245719392,0.292194223,0.305293501,0.330071856,0.368034127,0.358083694,0.351709451,0.385918419,0.415293019,0.420767127,0.43452453,0.46198457,0.455152917,1,1
Population aged 25+ without a high school diploma,Astoria,,0.234462562,0.221922731,0.218428767,0.209863305,0.204599599,0.193732288,0.178612618,0.179365984,0.175020324,0.169113827,0.156828966,0.142848504,1,1
Poverty rate,Astoria,0.203125571,0.183474014,0.171820709,0.167169235,0.164243289,0.159138066,0.189708759,0.20640907,0.163476612,0.190330258,0.171291829,0.167152709,0.137989977,1,1
Foreign-born population,Astoria,0.46041982,0.461910858,0.462094015,0.474749434,0.423453608,0.416045897,0.448957796,0.419641073,0.404289999,0.394876389,0.407322542,0.414396444,0.405161988,1,1
"Population density (1,000 persons per square mile)",Astoria,,38.54591737,37.25220286,34.32602311,34.94811044,34.53965146,32.63481496,33.32171529,32.31544938,34.96867045,35.8057568,34.35676522,33.67691404,1,1
"Median rent, all ($2016)",Astoria,1080,1220,1220,1230,1270,1330,1400,1370,1420,1410,1500,1540,1530,1,1
Severely rent-burdened households,Astoria,0.206903161,,,,,,0.229730449,,,,,0.259341389,,1,1
Racial diversity index,Bay Ridge,0.48685636,0.535658751,0.523746135,0.516498412,0.482759609,0.525969232,0.596667146,0.568686675,0.569048466,0.575819553,0.605431486,0.601466423,0.604579445,0,2
Percent Asian,Bay Ridge,0.135896088,0.163038146,0.166921837,0.192827271,0.161298295,0.205688955,0.247748894,0.232428854,0.253386779,0.206942193,0.247002995,0.255428123,0.240589542,0,2
Percent black,Bay Ridge,0.010870019,0.004720965,0.017416381,0.013082932,0.008089629,0.010387312,0.007616334,0.012156683,0.01311568,0.021835327,0.013147147,0.011599601,0.016666106,0,2
Percent Hispanic,Bay Ridge,0.108483286,0.184624293,0.155807756,0.130742524,0.130908642,0.128964141,0.139746655,0.136446728,0.130772429,0.163483001,0.164743864,0.160401248,0.159531666,0,2
Percent white,Bay Ridge,0.694830276,0.635335655,0.651008125,0.655022489,0.688491639,0.644191878,0.567773022,0.598769286,0.591162605,0.595106631,0.553393753,0.554460945,0.558398707,0,2
Median household income ($2016),Bay Ridge,63300,60180,65740,57130,61250,58870,52890,60110,54640,60110,57380,65070,66570,0,2
Unemployment rate,Bay Ridge,0.060569652,0.090172877,0.08181629,0.047484293,0.049658858,0.106003646,0.091756747,0.098375807,0.082397121,0.094512102,0.074331657,0.077298476,0.068094225,0,2
Population aged 25+ with a bachelor's degree or higher,Bay Ridge,0.305587558,0.355481952,0.355079027,0.311852378,0.343146973,0.382833848,0.327032422,0.366446668,0.363018128,0.395550633,0.384092447,0.421536492,0.404179967,0,2
Population aged 25+ without a high school diploma,Bay Ridge,,0.176546798,0.176112948,0.18234427,0.195160367,0.17340238,0.229927817,0.203236108,0.207195255,0.185759446,0.197551341,0.178094891,0.187352921,0,2
Poverty rate,Bay Ridge,0.139495248,0.138999027,0.136530137,0.140913485,0.121478495,0.155560733,0.153476571,0.148612463,0.16490463,0.15503693,0.218447359,0.139102732,0.150406504,0,2
Foreign-born population,Bay Ridge,0.365142528,0.344646491,0.364366894,0.352773613,0.363036494,0.354263223,0.382168475,0.374021109,0.388810882,0.393591943,0.409008518,0.405806336,0.37879196,0,2
"Population density (1,000 persons per square mile)",Bay Ridge,32.01313079,31.78347065,32.62873327,31.253862,33.16452111,35.42713697,34.22528321,32.82209063,32.87409887,33.09603502,31.51853759,30.58805355,0,0,2
"Median rent, all ($2016)",Bay Ridge,1100,1160,1200,1210,1230,1290,1290,1310,1300,1320,1350,1390,1440,0,2
Severely rent-burdened households,Bay Ridge,0.211857757,,,,,,0.258320568,,,,,0.303926389,,0,2
Racial diversity index,Bayside/Little Neck,0.558090283,0.584655637,0.618483662,0.597907695,0.607117136,0.585894714,0.624128859,0.643856344,0.649727896,0.61446562,0.616577615,0.634779773,0.653166661,0,2
Percent Asian,Bayside/Little Neck,0.263933738,0.349511082,0.323634789,0.317343532,0.316683868,0.339934154,0.382186867,0.381970017,0.402587173,0.443551797,0.407848193,0.436559443,0.401027424,0,2
Percent black,Bayside/Little Neck,0.019674687,0.020712897,0.018822591,0.00948044,0.024922193,0.032413587,0.008968014,0.014932291,0.020715249,0.012744186,0.014165758,0.02159154,0.024245832,0,2
Percent Hispanic,Bayside/Little Neck,0.089448304,0.07410395,0.135247572,0.122281464,0.120410596,0.080544568,0.128035009,0.106556894,0.134823705,0.110638478,0.098755331,0.124160158,0.128692037,0,2
Percent white,Bayside/Little Neck,0.603208593,0.535971965,0.508065612,0.535110038,0.526758355,0.539455271,0.461877636,0.445718764,0.411811996,0.419991543,0.455114219,0.398439633,0.410926811,0,2
Median household income ($2016),Bayside/Little Neck,83030,81950,80520,81350,82650,80150,77080,81890,75180,73990,81840,80080,79120,0,2
Unemployment rate,Bayside/Little Neck,0.041012685,0.045913093,0.043874042,0.043295788,0.051202701,0.084531562,0.096465916,0.084573612,0.079340264,0.06652087,0.055239015,0.062033352,0.027443279,0,2
Population aged 25+ with a bachelor's degree or higher,Bayside/Little Neck,0.373981585,0.43195913,0.399696169,0.363601824,0.413424157,0.416540612,0.447569103,0.458403405,0.435373179,0.443160099,0.435078422,0.424813569,0.410022753,0,2
Population aged 25+ without a high school diploma,Bayside/Little Neck,,0.122376549,0.143934155,0.117334168,0.120550769,0.115331608,0.107467126,0.105391958,0.132031756,0.101857468,0.088212509,0.100707075,0.123815936,0,2
Poverty rate,Bayside/Little Neck,0.065184572,0.059626405,0.057689193,0.053577393,0.065365203,0.07558481,0.072640217,0.108477767,0.074218686,0.070805489,0.079857507,0.086667377,0.076413866,0,2
